"filename", "language", "C", "C++", "Verilog", "Makefile", "YAML", "Markdown", "XML", "Python", "Xilinx Design Constraints", "Tcl", "Shell Script", "Diff", "gtkw_waveconfig", "comment", "blank", "total"
"/home/posedge/work/aiEngine_integrated/picorv32/picosoc/simpleuart.v", "Verilog", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 138
"/home/posedge/work/aiEngine_integrated/picorv32/picosoc/spiflash.v", "Verilog", 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 54, 410
"/home/posedge/work/aiEngine_integrated/picorv32/picosoc/spiflash_tb.v", "Verilog", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 367
"/home/posedge/work/aiEngine_integrated/picorv32/picosoc/spimemio.v", "Verilog", 0, 0, 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 580
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/csmith/Makefile", "Makefile", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 86
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/csmith/riscv-isa-sim.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 63
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/csmith/syscalls.c", "C", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 96
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/csmith/testbench.cc", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/csmith/testbench.v", "Verilog", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 101
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/cxxdemo/Makefile", "Makefile", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/cxxdemo/firmware.cc", "C++", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 88
